Grower,Field,Uninstalled_Date,Acres,Region,Latt_Long
Hughes,304-3,,,,"36.5601389,-120.2281263"
Hughes,309-2,,,,"36.552929,-120.2415164"
Hughes,233-2,,,,"36.4950862,-120.2410187"
Hughes,303,,,,"36.636011,-120.1841956"
Hughes,309-1,,,,"36.5534051,-120.2319765"
Hughes,228-1,,,,"36.515165,-120.2284035"
Hughes,234-2,,,,"36.4958675,-120.2189222"
David Santos,FA6,,,,"36.9797633,-120.8496755"
David Santos,FA7,,,,"36.9772785,-120.8522492"
Carvalho,311,,,,"36.6560695,-120.2675825"
DCB,F3_F4,,,,"37.0850143,-120.3816859"
DCB,Verway,,,,"36.941665,-120.3491144"
DCB,Maricopa 3,,,,"36.5314801,-120.2636368"
DCB,Maricopa 4,,,,"36.5529553,-120.2223982"
DCB,Maricopa 1,,,,"36.5316634,-120.2547871"
DCB,Howard 113,,,,"36.7940016,-120.411075"
DCB,Howard 116,,,,"36.7907991,-120.4015103"
DCB,Clayton,,,,"37.1224826,-120.465151"
DCB,Montague 2/4,,,,"37.1502217,-120.5333997"
DCB,Silva 1/2,,,,"37.1439683,-120.5456467"
DCB,Marty 150,,,,"37.143374,-120.3577301"
DCB,Silva 5,,,,"37.1456893,-120.5612443"
DCB,Silva 4,,,,"37.1449036,-120.5539742"
DCB,Dave Farmer DF5-DF8,,,,"37.158099,-120.4646923"
DCB,Alex 99,,,,"37.169234,-120.4182423"
DCB,Alex 101,,,,"37.158305,-120.4248156"
DCB,"Orion CP 26,27",,,,"37.1145592,-120.3977444"
DCB,Orion CP 25,,,,"37.115301,-120.3896889"
DCB,D&T,,,,"37.153908,-120.3618039"
DCB,Maricopa 2,,,,"36.5316322,-120.2453294"
DCB,"Forte 3, 4",,,,"37.1092828,-120.8597476"
DCB,"Verway FB 1, 8",,,,"36.9400665,-120.3788437"
DCB,"CP 4,5,7,8",,,,"37.1060899,-120.3749981"
DCB,Orion O-21,,,,"37.0880829,-120.3974456"
DCB,75,,,,"36.1911989,-119.7007785"
DCB,JNJC 1-4,,,,"37.051417,-120.4335527"
DCB,"Verway FB 5,12",,,,"36.9413073,-120.3628333"
DCB,Pistachio,,,,"37.0189448,-120.140238"
DCB,Hanford 76,,,,"36.1903466,-119.6929974"
DCB,Hanford 77,,,,"36.1911986,-119.6827477"
DCB,Twin Creek,,,,"37.2613715,-120.3748738"
DCB,Warren,,,,"37.1355885,-120.4851163"
DCB,"Verway T1, T2, T3",,,,"36.9389656,-120.40417"
DCB,"CP:13,15",,,,"37.1028837,-120.3784682"
DCB,"Chapman:1, 4",,,,"37.0282669,-120.3746808"
DCB,Rogerro 30-40,,,,"37.1386396,-120.474502"
Bone Farms LLC,F7,,,,"35.4694197,-119.5597251"
RKB,115_116_107,,,,"36.1006347,-119.3883649"
RKB,"F1,F2",,,,"36.0137444,-119.3951346"
Lucero Sun Pacific,32-7,,,,"36.8391152,-120.6826281"
Lucero Sun Pacific,31,,,,"36.8444509,-120.6935296"
Lucero Sun Pacific,20,,,,"36.8675899,-120.6854244"
Lucero Sun Pacific,29,,,,"36.8592498,-120.6837694"
Lucero Sun Pacific,32-5,,,,"36.8411146,-120.6769794"
Lucero Sun Pacific,33,,,,"36.8373995,-120.6558866"
Mike Silva,1,,,,"36.07747,-119.3108422"
F&S,Airport 3 ,,,,"None,None"
F&S,Airport 2,,,,"36.9495098,-121.4766162"
F&S,Airport 1 T,,,,"36.9482927,-121.4725477"
F&S,Felmont 4 ,,,,"None,None"
F&S,Felmont 6,,,,"36.9697996,-121.4843671"
F&S,Felmont 2,,,,"36.9670418,-121.4944992"
Fransicioni & Griva,"1S,2N,2S",,,,"36.3436902,-121.2641808"
Lucero Farms,LB1,,,,"37.0236152,-120.8293955"
RnD,Double-Single Trial,,,,"36.8428202,-120.7421914"
RnD,Rate Trial,,,,"36.8445779,-120.7393341"
RnD,Stoler Rate Trial,,,,"37.0264771,-120.8354775"
RnD,77,,,,"36.1930481,-119.6896012"
Fantozzi,37311,,,,"37.4511578,-121.1213422"
Fantozzi,2_7 East,,,,"37.8055009,-121.4224804"
Lucero Bakersfield,Headquarters,,,,"35.3599977,-118.8861547"
Lucero Bakersfield,Towerline,,,,"35.3396532,-118.8009621"
Lucero Ave 7,"7-1, 33-1",,,,"36.8488656,-119.9611337"
Lucero 8 Mile,"1,2,3,4,5,6",,,,"38.0619185,-121.3989363"
Lucero 8 Mile,"7,11",,,,"38.0711062,-121.410801"
Lucero 8 Mile,"12,14",,,,"38.0607818,-121.4124935"
Lucero 8 Mile,10,,,,"38.0610362,-121.4077857"
Lucero Morada,"1,2",,,,"38.0387597,-121.2916088"
Lucero Morada,"3,4,5",,,,"38.0482105,-121.2824821"
Lucero Rio Vista,3,,,,"38.1423347,-121.6649035"
Lucero Rio Vista,5,,,,"38.1219842,-121.6466256"
Lucero Rio Vista,2,,,,"38.1472722,-121.6528718"
Lucero Rio Vista,4,,,,"38.1303954,-121.6607587"
Lucero Rio Vista,1 West,,,,"38.1487114,-121.648209"
Lucero Rio Vista,1 Middle,,,,"38.1450459,-121.638047"
Lucero Rio Vista,1 East,,,,"38.1451313,-121.6353631"
Lucero Rio Vista,8,,,,"38.1543764,-121.6528815"
Lucero Rio Vista,6,,,,"38.1190071,-121.6315282"
Lucero Watermark,"1,2,3",,,,"38.500574,-121.5723267"
Lucero Watermark,"6,7",,,,"38.4981239,-121.5647887"
Lucero Watermark,9,,,,"38.4959066,-121.5686922"
Lucero Watermark,"11,12",,,,"38.4948657,-121.5657394"
Lucero SE Honkerlake,04,,,,"37.9081456,-121.4185374"
